conversation_num,batch_num,vis_img,int_verb,ort_img,rep_man,soc_pers,team_size,difficulty,score,duration,efficiency,speaker_nickname,message,timestamp,message_lower_with_punc,num_words,num_chars,num_messages,sentiment
rHPaiuXkM3Ss4rEsW,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],586.0,107.0,5.476635514018692,oJLD2kfcwGyXkfCeH,can we get d to the highest score,2021-02-26T19:11:21.474Z,can we get d to the highest score?,8,33,1,"{'positive': 0.0, 'negative': 0.0, 'neutral': 0.0}"
dArSAcrzmb9bR6Pug,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,6QvNn8wdCyviKCjiv,looks good,2021-02-26T19:22:32.695Z,looks good,2,10,1,"{'positive': 0.0, 'negative': 0.0, 'neutral': 0.0}"
dArSAcrzmb9bR6Pug,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,6qP7EcqvYQL4gmrAX,i like it,2021-02-26T19:23:14.467Z,i like it,3,9,1,"{'positive': 0.0, 'negative': 0.0, 'neutral': 0.0}"
dArSAcrzmb9bR6Pug,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,NMkPLqERKzTTMqw5Y,it looks good to me,2021-02-26T19:23:20.650Z,it looks good to me,5,19,1,"{'positive': 0.0, 'negative': 0.0, 'neutral': 0.0}"
dArSAcrzmb9bR6Pug,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,6QvNn8wdCyviKCjiv,stop changing it,2021-02-26T19:23:52.111Z,stop changing it,3,16,1,"{'positive': 0.0, 'negative': 0.0, 'neutral': 0.0}"
dArSAcrzmb9bR6Pug,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,WehwSkzFdpbNKjFMD,i made it higher stop you made it lower,2021-02-26T19:24:39.311Z,i made it higher stop you made it lower,9,39,1,"{'positive': 0.0, 'negative': 0.0, 'neutral': 0.0}"
dArSAcrzmb9bR6Pug,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,WehwSkzFdpbNKjFMD,look now they are all over 50,2021-02-26T19:25:27.770Z,"look, now they are all over 50",7,29,1,"{'positive': 0.0, 'negative': 0.0, 'neutral': 0.0}"
dArSAcrzmb9bR6Pug,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,6qP7EcqvYQL4gmrAX,but they are breaking a rule,2021-02-26T19:25:50.170Z,but they are breaking a rule,6,28,1,"{'positive': 0.0, 'negative': 0.0, 'neutral': 0.0}"
dArSAcrzmb9bR6Pug,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,WehwSkzFdpbNKjFMD,pay attention to the numbers if you care about  please,2021-02-26T19:25:52.373Z,"pay attention to the numbers if you care about $, please",10,54,1,"{'positive': 0.0, 'negative': 0.0, 'neutral': 0.0}"
dArSAcrzmb9bR6Pug,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,NMkPLqERKzTTMqw5Y,yes we have to take into account two broken rules 200,2021-02-26T19:26:14.885Z,"yes, we have to take into account two broken rules =-200",11,53,1,"{'positive': 0.0, 'negative': 0.0, 'neutral': 0.0}"
dArSAcrzmb9bR6Pug,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,WehwSkzFdpbNKjFMD,it wasnt the first time but people keep changing it and putting one of them under 50,2021-02-26T19:26:17.762Z,it wasn't the first time but people keep changing it and putting one of them under 50,17,84,1,"{'positive': 0.0, 'negative': 0.0, 'neutral': 0.0}"
dArSAcrzmb9bR6Pug,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,6QvNn8wdCyviKCjiv,time is money lets move on,2021-02-26T19:26:19.228Z,time is money. lets move on,6,26,1,"{'positive': 0.0, 'negative': 0.0, 'neutral': 0.0}"
dArSAcrzmb9bR6Pug,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,WehwSkzFdpbNKjFMD, you the numbers are ,2021-02-26T19:26:38.200Z,"***** you, the numbers are $",4,21,1,"{'positive': 0.0, 'negative': 0.0, 'neutral': 0.0}"
dArSAcrzmb9bR6Pug,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,6qP7EcqvYQL4gmrAX,purple is messing it up on purpose,2021-02-26T19:26:48.657Z,purple is messing it up on purpose,7,34,1,"{'positive': 0.0, 'negative': 0.0, 'neutral': 0.0}"
dArSAcrzmb9bR6Pug,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,WehwSkzFdpbNKjFMD,i would rather time out than have them under 50,2021-02-26T19:27:03.243Z,i would rather time out than have them under 50,10,47,1,"{'positive': 0.0, 'negative': 0.0, 'neutral': 0.0}"
dArSAcrzmb9bR6Pug,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,6QvNn8wdCyviKCjiv,,2021-02-26T19:27:13.402Z,??,0,0,1,"{'positive': 0.0, 'negative': 0.0, 'neutral': 0.0}"
dArSAcrzmb9bR6Pug,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,6qP7EcqvYQL4gmrAX,approve it,2021-02-26T19:27:35.807Z,approve it,2,10,1,"{'positive': 0.0, 'negative': 0.0, 'neutral': 0.0}"
dArSAcrzmb9bR6Pug,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,WehwSkzFdpbNKjFMD,good,2021-02-26T19:28:01.037Z,good,1,4,1,"{'positive': 0.0, 'negative': 0.0, 'neutral': 0.0}"
sbtKHuLChG8ge734n,1,High,High,High,High,Low,8,Easy [Corresponds to 'Hard' in PNAS],484.0,123.0,3.934959349593496,NULL_SPEAKER,,NULL_TIME,,1,3,1,"{'positive': 0.0, 'negative': 0.0, 'neutral': 0.0}"
guq9kzMuDCpB4hRhK,1,Mixed,High,High,High,Low,4,Easy [Corresponds to 'Hard' in PNAS],515.0,152.0,3.388157894736842,F95Kc45STrQWhYNDa,wow,2021-02-26T19:30:00.579Z,wow,1,3,1,"{'positive': 0.0, 'negative': 0.0, 'neutral': 0.0}"
guq9kzMuDCpB4hRhK,1,Mixed,High,High,High,Low,4,Easy [Corresponds to 'Hard' in PNAS],515.0,152.0,3.388157894736842,DAykrgum4pwPtapsc,everyone agreed,2021-02-26T19:30:17.950Z,everyone agreed?,2,15,1,"{'positive': 0.0, 'negative': 0.0, 'neutral': 0.0}"
guq9kzMuDCpB4hRhK,1,Mixed,High,High,High,Low,4,Easy [Corresponds to 'Hard' in PNAS],515.0,152.0,3.388157894736842,F95Kc45STrQWhYNDa,yes sir,2021-02-26T19:30:22.059Z,yes sir,2,7,1,"{'positive': 0.0, 'negative': 0.0, 'neutral': 0.0}"
guq9kzMuDCpB4hRhK,1,Mixed,High,High,High,Low,4,Easy [Corresponds to 'Hard' in PNAS],515.0,152.0,3.388157894736842,Wnh2Rbi4NbSZkZHde,sure,2021-02-26T19:30:29.669Z,sure',1,4,1,"{'positive': 0.0, 'negative': 0.0, 'neutral': 0.0}"
hSNqR8mxGD2jv3WeZ,1,High,Low,High,High,High,1,Easy [Corresponds to 'Hard' in PNAS],653.0,457.0,1.4288840262582057,NULL_SPEAKER,,NULL_TIME,,1,3,1,"{'positive': 0.0, 'negative': 0.0, 'neutral': 0.0}"
QFLtvFgbhMhRt9KQK,1,High,Low,High,Low,High,1,Easy [Corresponds to 'Hard' in PNAS],552.0,227.0,2.4317180616740086,NULL_SPEAKER,,NULL_TIME,,1,3,1,"{'positive': 0.0, 'negative': 0.0, 'neutral': 0.0}"
PfRcbWpT8qDqYiuag,1,High,Low,High,High,High,1,Easy [Corresponds to 'Hard' in PNAS],561.0,206.0,2.7233009708737863,NULL_SPEAKER,,NULL_TIME,,1,3,1,"{'positive': 0.0, 'negative': 0.0, 'neutral': 0.0}"
